date,submit_ts,symbol,qty,intended_px,bid,ask,mid,spread_bps,fill_avg,slip_vs_intended_bps,slip_vs_mid_bps,order_id
2026-08-06,2026-08-06T09:44:21-04:00,NVAX,263,7.58,7.54,7.8,7.67,339.0,7.64,79.2,-39.1,4f5dfde5-7569-4a6f-8239-28631b5acc43
2026-08-06,2026-08-06T09:44:22-04:00,SOUN,260,7.67,7.67,7.68,7.675,13.0,7.68,13.0,6.5,151e67b7-5b35-4545-b7c8-b92bd3ae5ee9
2026-08-06,2026-08-06T10:13:33-04:00,FLNC,136,14.685,14.67,14.78,14.725,74.7,14.68,-3.4,-30.6,2cdbff57-8c9e-4372-882a-bc85b8457170
2026-08-07,2026-08-07T09:44:19-04:00,HTZ,847,2.36,2.35,2.36,2.355,42.5,2.36,0.0,21.2,ef4bd469-66cf-4aa4-a7ba-9434d99bc5c4
2026-08-07,2026-08-07T09:44:19-04:00,TE,323,6.175,6.17,6.18,6.175,16.2,6.18,8.1,8.1,31e4d5a7-f437-4223-98d7-221600b5a5b5
2026-08-07,2026-08-07T09:44:19-04:00,NB,366,5.45,5.43,5.45,5.44,36.8,5.45,0.0,18.4,27b8bcfd-7596-4176-b632-ce2f60686f51
2026-08-10,2026-08-10T09:44:11-04:00,HTZ,860,2.325,2.32,2.33,2.325,43.0,2.33,21.5,21.5,243c93fb-692b-4c1d-97a1-726b0ebe83fb
2026-08-10,2026-08-10T09:44:11-04:00,RUM,314,6.36,6.35,6.37,6.36,31.4,6.36,0.0,0.0,2d3a3826-61da-4364-9bd5-81b375ea36fe
2026-08-10,2026-08-10T09:44:11-04:00,ONDS,214,9.345,9.34,9.36,9.35,21.4,9.35,5.4,0.0,f40142bd-3f42-4bf2-9d8e-a0542ee7c745
2026-08-11,2026-08-11T09:44:18-04:00,PLUG,871,2.295,2.29,2.3,2.295,43.6,2.3,21.8,21.8,7eeee027-66c8-48f9-ac03-29de0911171c
2026-08-11,2026-08-11T09:44:18-04:00,FRMI,293,6.82,6.83,6.84,6.835,14.6,6.84,29.3,7.3,94948aa3-92c4-4f88-9231-0fe898142613
2026-08-11,2026-08-11T09:44:18-04:00,API,438,4.56,4.53,4.58,4.555,109.8,4.58,43.9,54.9,b17ef562-b963-44bf-9dc5-3123f77d7021
